bias_brut;rmse;bias_rel;relative_rmse;biais_out_20percent;nb_out_20percent;n;R2;val;Combination
-0.459896927;3.133589316;-0.019347091;0.346494865;0.272727273;6;22;0.589226817;Moreira et al. (2023);C3_C4_C8xgb
-0.686183894;1.499035677;-0.092453399;0.157029642;0.003401361;15;4410;0.946982795;Arab-Alameddine et al. (2012);C3_C4_C8xgb
0.000961553;1.977226361;0.108385566;0.293159903;0.315184513;1042;3306;0.938432684;CV10F;C3_C6_C12glmnet
0.126551372;1.840950068;0.118571634;0.29311654;0.328804348;363;1104;0.936822272;Test;C3_C6_C12glmnet
-0.67079996;3.555450647;0.078731228;0.530569426;0.318181818;7;22;0.461852691;Moreira et al. (2023);C3_C6_C12glmnet
0.223469273;1.591271285;0.077639171;0.198562617;0.231746032;1022;4410;0.926112388;Arab-Alameddine et al. (2012);C3_C6_C12glmnet
-0.009589869;1.925084014;0.04023612;0.201475483;0.182395644;603;3306;0.941708193;CV10F;C3_C6_C12rf
0.156420763;1.774040272;0.051284412;0.205026101;0.198369565;219;1104;0.942646091;Test;C3_C6_C12rf
-0.337576885;2.912594324;0.011825494;0.346015733;0.318181818;7;22;0.626636403;Moreira et al. (2023);C3_C6_C12rf
-0.308087297;1.206827133;-0.036878147;0.123757143;0.007936508;35;4410;0.959259301;Arab-Alameddine et al. (2012);C3_C6_C12rf
-0.086027219;1.985692796;0.103010191;0.297317391;0.304597701;1007;3306;0.938434017;CV10F;C3_C6_C12svm
0.039897633;1.824986874;0.113091511;0.296841723;0.320652174;354;1104;0.936956547;Test;C3_C6_C12svm
-0.72322105;3.535211213;0.074546159;0.52591254;0.318181818;7;22;0.466816554;Moreira et al. (2023);C3_C6_C12svm
0.207130757;1.61836735;0.078316173;0.203112365;0.240816327;1062;4410;0.923059293;Arab-Alameddine et al. (2012);C3_C6_C12svm
-0.007163342;1.905431991;0.05282337;0.241313619;0.231397459;765;3306;0.942806842;CV10F;C3_C6_C12xgb
0.13866629;1.860846112;0.06603111;0.245246713;0.25634058;283;1104;0.936784967;Test;C3_C6_C12xgb
-0.32313291;3.377208679;0.105167352;0.511136108;0.409090909;9;22;0.51187695;Moreira et al. (2023);C3_C6_C12xgb
0.437368593;1.59016759;0.108175543;0.241046657;0.29569161;1304;4410;0.930396493;Arab-Alameddine et al. (2012);C3_C6_C12xgb
0.000423556;1.992756041;0.102309443;0.28408579;0.31215971;1032;3306;0.937437726;CV10F;C3_C6_C8glmnet
0.155430686;1.882268959;0.114033592;0.285187281;0.317934783;351;1104;0.935012115;Test;C3_C6_C8glmnet
-0.526739436;3.499792046;0.044265442;0.432229656;0.409090909;9;22;0.486649492;Moreira et al. (2023);C3_C6_C8glmnet
-0.227883371;1.419276533;0.014157979;0.155430985;0.096145125;424;4410;0.942742976;Arab-Alameddine et al. (2012);C3_C6_C8glmnet
-0.009311883;2.05673872;0.045221578;0.21668375;0.20508167;678;3306;0.93340527;CV10F;C3_C6_C8rf
0.184217049;1.90898002;0.060752048;0.224648329;0.237318841;262;1104;0.933796605;Test;C3_C6_C8rf
-0.385974815;2.953553968;-0.032731922;0.328330238;0.181818182;4;22;0.63030293;Moreira et al. (2023);C3_C6_C8rf
-0.964118921;1.568829991;-0.134712508;0.173740747;0.003401361;15;4410;0.960140369;Arab-Alameddine et al. (2012);C3_C6_C8rf
-0.147395233;2.002133449;0.077630674;0.268180162;0.275559589;911;3306;0.937513321;CV10F;C3_C6_C8svm
0.00315418;1.855370619;0.088191221;0.267329375;0.287137681;317;1104;0.935199177;Test;C3_C6_C8svm
-0.646238772;3.556810636;0.028961143;0.437239198;0.409090909;9;22;0.474252103;Moreira et al. (2023);C3_C6_C8svm
-0.290915191;1.471555969;0.003805802;0.155905529;0.087755102;387;4410;0.939380505;Arab-Alameddine et al. (2012);C3_C6_C8svm
-0.0015404;2.024153299;0.060775698;0.255774539;0.255595886;845;3306;0.935450681;CV10F;C3_C6_C8xgb
0.182903033;1.917269299;0.080586979;0.270087334;0.283514493;313;1104;0.933469119;Test;C3_C6_C8xgb
-0.19992038;3.569073203;0.059238174;0.448640771;0.409090909;9;22;0.492918245;Moreira et al. (2023);C3_C6_C8xgb
-0.310768628;1.495674866;-0.011540652;0.161719624;0.077324263;341;4410;0.937711336;Arab-Alameddine et al. (2012);C3_C6_C8xgb
0.000797396;1.972570833;0.105967364;0.288975263;0.311252269;1029;3306;0.938711325;CV10F;C3_C8_C12glmnet
0.132691908;1.845303521;0.116264668;0.288732496;0.329710145;364;1104;0.936757768;Test;C3_C8_C12glmnet
-0.626739434;3.430870838;0.074631442;0.490103323;0.318181818;7;22;0.492708964;Moreira et al. (2023);C3_C8_C12glmnet
0.200092886;1.513844909;0.073495697;0.189115715;0.212244898;936;4410;0.93258823;Arab-Alameddine et al. (2012);C3_C8_C12glmnet
-0.011633309;1.972614827;0.043042378;0.207211591;0.201451906;666;3306;0.938792969;CV10F;C3_C8_C12rf
0.174214611;1.784022979;0.054850529;0.209032879;0.21557971;238;1104;0.942216416;Test;C3_C8_C12rf
-0.355800883;2.951326966;0.034529201;0.340827756;0.409090909;9;22;0.617244188;Moreira et al. (2023);C3_C8_C12rf
